"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
0,711;0,564;0,707;0,481;0,18;0,481;0,809;0,851;0,842;0,655;0,545;0,737
0,547;0,711;0,564;0,707;0,481;0,18;0,481;0,809;0,851;0,842;0,655;0,545
0,257;0,547;0,711;0,564;0,707;0,481;0,18;0,481;0,809;0,851;0,842;0,655
0,265;0,257;0,547;0,711;0,564;0,707;0,481;0,18;0,481;0,809;0,851;0,842
0,439;0,265;0,257;0,547;0,711;0,564;0,707;0,481;0,18;0,481;0,809;0,851
0,351;0,439;0,265;0,257;0,547;0,711;0,564;0,707;0,481;0,18;0,481;0,809
0,237;0,351;0,439;0,265;0,257;0,547;0,711;0,564;0,707;0,481;0,18;0,481
-0,038;0,237;0,351;0,439;0,265;0,257;0,547;0,711;0,564;0,707;0,481;0,18
0,068;-0,038;0,237;0,351;0,439;0,265;0,257;0,547;0,711;0,564;0,707;0,481
0,02;0,068;-0,038;0,237;0,351;0,439;0,265;0,257;0,547;0,711;0,564;0,707
-0,236;0,02;0,068;-0,038;0,237;0,351;0,439;0,265;0,257;0,547;0,711;0,564
-0,532;-0,236;0,02;0,068;-0,038;0,237;0,351;0,439;0,265;0,257;0,547;0,711
-0,498;-0,532;-0,236;0,02;0,068;-0,038;0,237;0,351;0,439;0,265;0,257;0,547
-0,369;-0,498;-0,532;-0,236;0,02;0,068;-0,038;0,237;0,351;0,439;0,265;0,257
0,414;-0,369;-0,498;-0,532;-0,236;0,02;0,068;-0,038;0,237;0,351;0,439;0,265
-0,069;0,414;-0,369;-0,498;-0,532;-0,236;0,02;0,068;-0,038;0,237;0,351;0,439
-0,024;-0,069;0,414;-0,369;-0,498;-0,532;-0,236;0,02;0,068;-0,038;0,237;0,351
-0,081;-0,024;-0,069;0,414;-0,369;-0,498;-0,532;-0,236;0,02;0,068;-0,038;0,237
-0,245;-0,081;-0,024;-0,069;0,414;-0,369;-0,498;-0,532;-0,236;0,02;0,068;-0,038
-0,442;-0,245;-0,081;-0,024;-0,069;0,414;-0,369;-0,498;-0,532;-0,236;0,02;0,068
-0,401;-0,442;-0,245;-0,081;-0,024;-0,069;0,414;-0,369;-0,498;-0,532;-0,236;0,02
-0,415;-0,401;-0,442;-0,245;-0,081;-0,024;-0,069;0,414;-0,369;-0,498;-0,532;-0,236
-0,247;-0,415;-0,401;-0,442;-0,245;-0,081;-0,024;-0,069;0,414;-0,369;-0,498;-0,532
